google_id,name,lat,lng
ChIJhY948kACskAR9SpgK21Tlxk,Debarcader Miorița,44.4766726,26.07594109999999
ChIJXQAJdPEDskARif471MY5Ihc,Fratelli (Herastrau),44.4777809,26.084649399999996
ChIJFaUBGD4CskARzTpk4zIZTnk,La nostalgia,44.471758,26.0750575
ChIJMUTRAfYDskARzD_V_i1kjVQ,Herastrau,44.473543,26.0876792
ChIJwVKMEvEDskARBKuxlAMk_Gw,La Ceaunu' Crăpat,44.4766351,26.0747133
ChIJZTvcfmcCskARQZc1wj-EaXw,Les Colonnes,44.484509499999994,26.088949399999997
ChIJO0OvT1sCskARMgZ_B1ojvIA,Restaurant Diplomat,44.484711600000004,26.0795931
ChIJHzSzS10CskARqKh7Ps3xm6A,Trattoria il Calcio,44.4827174,26.0850704
ChIJb5ztVVoCskAR-UbiEGkCW5w,Subway,44.487042100000004,26.078955800000003
ChIJ7bSvrUUCskARvBgzCuh_ZWA,Stradale BBP,44.4825373,26.0740677
ChIJR4SeeEUCskARJbtRAAND7Jw,frufru fresh corner,44.483517799999994,26.0722517
ChIJG2o2Y14CskAR18_bnBCUP3E,Nuba,44.4877318,26.0881354
ChIJzYbL11gCskARmq31XqH2_Aw,Dobrogea Pizza,44.4897705,26.0844713
ChIJga233z__sUAR2RvxbXnT6zY,Le Grenier à Pain,44.484081200000006,26.091854100000003
ChIJFepBSm8CskARZ9ybCE8R-Ts,Restaurant La Plăcinte,44.479986,26.092219
ChIJ74Ma40UCskARoPqMudKlZnY,Restaurant Kantina,44.4814591,26.07160859999999
ChIJCVcXQ0j_sUARSvJEdIlH0rs,Bocca - Italian Gastronomy,44.48450620000001,26.0901475
ChIJV0rf6TIDskARorIzdAuvhmI,LOFT DIPLOMAT,44.4846556,26.079949
ChIJf2i_7EMCskARnODK_L4VodM,Lake Lounge,44.4807666,26.0783639
ChIJN5ywT1sCskAR7TcdX2ENr1A,Flavours In The Garden at Diplomatic Club,44.484831299999996,26.0781074
ChIJn3rkb04DskARNov2oObfkog,Fratelli Clandestin,44.480296700000004,26.07881309999999
ChIJGx6JrLIDskARpwGKE692Y9g,TUYA Bucharest,44.48029589999999,26.078813600000004
ChIJ__-vw0MCskARNRZ8oKxv-XQ,Restaurant Argentine,44.48029589999999,26.078813600000004
ChIJ__-vw0MCskARN_7TXt3Gmr4,Il Calcio by Mr. VAL,44.4827454,26.0850792
ChIJ67aeVPQDskARIaDtJQO5nlY,Il Calcio Herastrau,44.482712899999996,26.085084600000002
ChIJVxr600ICskARI-3tQmBZ7Pc,La Fattoria,44.480526700000006,26.085862300000002
ChIJP6kcVRsDskARwUhSOzytpNM,Gregorys,44.4864751,26.077633399999996
ChIJbZT76dIDskARHxrpnMkGLoI,Zaar Lifestyle,44.4787014,26.084742499999997
ChIJTfbx2UsDskARKrZiuQrLQaQ,Matelotilor restaurant,44.486579,26.0753796
ChIJqwnAll0CskARkOg08sJmS30,The GRILL,44.485358899999994,26.087689899999997
ChIJQZEGhpgDskARWvM6y8rTbrQ,Romanian Barbacoa by Romanian Burger,44.478432399999996,26.0859082
ChIJxZeiwlcCskARwkiNnYkgMzE,Glamour Restro Cafe,44.493460600000006,26.07964209999999
ChIJK7iS__gCskARaXvdYDWJprI,WOW RESTAURANT&EVENTS,44.4970084,26.0795955
