google_id,name,lat,lng
ChIJLToRJxACskARXYJ-9-5tw20,Bolta Rece,44.4641487,26.08479849999999
ChIJv5IF9RkCskAR2NiIR0oStkQ,Piccolo Mondo,44.46,26.0775
ChIJiQ5wxQ8CskARB2_8tKWQ-ho,Zexe Braserie,44.4646674,26.0857799
ChIJi_2ncAUCskARhQ9ZDc_o7gI,Hambar Brasserie,44.4622828,26.0856691
ChIJxcIO_hECskARXA0fCubpUo0,Poesia,44.46726839999999,26.0874098
ChIJ5Y86pwUCskARDFh-fk_A-Lw,Trattoria Verdi Aviatorilor,44.4614564,26.0855891
ChIJ-_GWVA4CskARFSXKcPziRcw,KFC Dorobanți,44.46476570000001,26.0883811
ChIJxfAKCA4CskAR8ZGtgPGG80c,Trattoria Buongiorno Primăverii,44.4672731,26.08815909999999
ChIJk6d0nxwCskARJ-a-gW6w6Ig,Il Calcio by Mr Val,44.45983519999999,26.0776753
ChIJuXBl9hsCskAR1YD9gaLZMFo,La Placinte,44.46092030000001,26.0745819
ChIJTUL46w0CskARhzUMgxVNX50,Fior di Latte,44.468025,26.0893556
ChIJX7-CDBwCskAR8lk8ddKqAfU,Pizza Hut Delivery,44.46036700000001,26.07448690000001
ChIJQ1VethwCskARsOB05mw_AjY,Cristine de casã,44.458805,26.0782975
ChIJ8emg6g0CskARq2l2ieuYQ9M,Osho,44.4682222,26.0895407
ChIJxX0hOD0CskARCuSoDpKARSs,Peru Bistro,44.4684344,26.0714096
ChIJ-U81nj0CskARWs1MOyZCNgk,Tezaal Food Impex S.A.,44.4689594,26.07161989999999
ChIJx2nJcT4CskARlNz-InDFFUM,Bordo Caffe & Pub,44.47163870000001,26.073273
ChIJNUcvhUD_sUARdaVH5Sf2h7k,City Grill Primăverii,44.4670401,26.08773529999999
ChIJYanWbz4CskARZr4OFgpAkJs,Tic Tac Fresh Food,44.4716399,26.0731732
ChIJtY4E9w8CskARFwYog5zUjHc,Joseph,44.4634667,26.08475829999999
ChIJpQdOvhECskARHltin9d7DhM,Quattro Stagioni,44.46663119999999,26.0844636
ChIJvZdtzBsCskAR1hUsuFbK9Ho,Restaurant Beirut,44.4626034,26.07621619999999
ChIJOSqXfgQCskARM1rKEdk2geI,Casa Doina,44.4588712,26.083187
ChIJxQgZ-wYCskARrmEFmkJK4L4,Salad Revolution,44.459186,26.0899678
ChIJ20urzhsCskARvquFakHnS3w,Jadoo,44.462589,26.076456
ChIJz2a1sLT4sUAR_ptQ354J7D0,Barca,44.465936,26.089549
ChIJS-smNBACskARrv_1EvlWiL8,Maison des Crêpes Aviatorilor,44.4654994,26.0837984
