epoch,places,demand,T,C,S,A,revisits,iterations
0,360,1800,0.4,0.29444444444444445,0.2,0.10555555555555556,12159,55
1,360,1800,0.4,0.29388888888888887,0.2,0.10611111111111111,20279,101
2,360,1800,0.4,0.2927777777777778,0.2,0.10722222222222222,19828,109
3,360,1800,0.4,0.29444444444444445,0.2,0.10555555555555556,10530,60
4,360,1800,0.4,0.29333333333333333,0.2,0.10666666666666667,31669,168
5,360,1800,0.4,0.2916666666666667,0.2,0.10833333333333334,7012,35
6,360,1800,0.4,0.2922222222222222,0.2,0.10777777777777778,37101,166
7,360,1800,0.4,0.29333333333333333,0.2,0.10666666666666667,29578,110
8,360,1800,0.4,0.29333333333333333,0.2,0.10666666666666667,9050,67
9,360,1800,0.4,0.2916666666666667,0.2,0.10833333333333334,15367,85
